"PVWatts: Hourly PV Performance Data"
"Requested Location:","16335, USA"
"Location:","Lat, Lon: 41.65, -80.14"
"Lat (deg N):","41.65"
"Long (deg W):","80.14"
"Elev (m):","406.92001342773"
"DC System Size (kW):","1"
"Module Type:","Premium"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.119"
"Capacity Factor (%)","13.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-1","0","0","-1","0","0"
"1","1","1","0","0","-1","0","0","-1","0","0"
"1","1","2","0","0","-1","0","0","-1","0","0"
"1","1","3","0","0","-2","0","0","-2","0","0"
"1","1","4","0","0","-3","0","0","-3","0","0"
"1","1","5","0","0","-3","0","0","-3","0","0"
"1","1","6","0","0","-4","0","0","-4","0","0"
"1","1","7","0","0","-4","0","0","-4","0","0"
"1","1","8","54","37","-3","0","61.959","-4.8","56.518","50.34"
"1","1","9","0","48","-3","0","45.554","-4.599","43.195","37.281"
"1","1","10","56","140","-3","0","185.356","2.416","171.241","162.514"
"1","1","11","0","111","-3","0","108.502","0.896","101.09","93.98"
"1","1","12","468","146","-3","0","519.389","16.428","457.185","439.975"
"1","1","13","22","154","-3","0","171.13","7.252","156.017","147.656"
"1","1","14","0","111","-3","0","111.065","0.896","103.477","96.315"
"1","1","15","290","75","-4","0","229.665","4.24","204.694","195.132"
"1","1","16","287","30","-5","0","124.278","0.246","103.161","96.006"
"1","1","17","0","0","-6","0","0","-6","0","0"
"1","1","18","0","0","-7","0","0","-7","0","0"
"1","1","19","0","0","-7","0","0","-7","0","0"
"1","1","20","0","0","-8","0","0","-8","0","0"
"1","1","21","0","0","-9","0","0","-9","0","0"
"1","1","22","0","0","-9","0","0","-9","0","0"
"1","1","23","0","0","-9","0","0","-9","0","0"
"1","2","0","0","0","-9","0","0","-9","0","0"
"1","2","1","0","0","-9","0","0","-9","0","0"
"1","2","2","0","0","-9","0","0","-9","0","0"
"1","2","3","0","0","-8","0","0","-8","0","0"
"1","2","4","0","0","-8","0","0","-8","0","0"
"1","2","5","0","0","-8","0","0","-8","0","0"
"1","2","6","0","0","-8","0","0","-8","0","0"
"1","2","7","0","0","-7","0","0","-7","0","0"
"1","2","8","431","35","-6","0","184.356","-1.218","154.991","146.655"
"1","2","9","456","69","-5","0","312.772","7.401","275.761","264.286"
"1","2","10","15","129","-5","0","139.755","1.908","129.621","121.875"
"1","2","11","77","175","-5","0","242.892","4.156","223.421","213.373"
"1","2","12","105","189","-5","0","280.714","6.762","256.02","245.095"
"1","2","13","20","153","-5","0","168.553","2.711","155.979","147.62"
"1","2","14","0","64","-5","0","60.778","-3.417","57.415","51.219"
"1","2","15","0","62","-5","0","60.784","-5.716","57.84","51.636"
"1","2","16","0","15","-6","0","14.209","-9.206","13.67","8.319"
"1","2","17","0","0","-7","0","0","-7","0","0"
"1","2","18","0","0","-8","0","0","-8","0","0"
"1","2","19","0","0","-8","0","0","-8","0","0"
"1","2","20","0","0","-8","0","0","-8","0","0"
"1","2","21","0","0","-8","0","0","-8","0","0"
"1","2","22","0","0","-9","0","0","-9","0","0"
"1","2","23","0","0","-9","0","0","-9","0","0"
"1","3","0","0","0","-10","0","0","-10","0","0"
"1","3","1","0","0","-11","0","0","-11","0","0"
"1","3","2","0","0","-12","0","0","-12","0","0"
"1","3","3","0","0","-12","0","0","-12","0","0"
"1","3","4","0","0","-12","0","0","-12","0","0"
"1","3","5","0","0","-12","0","0","-12","0","0"
"1","3","6","0","0","-12","0","0","-12","0","0"
"1","3","7","0","0","-12","0","0","-12","0","0"
"1","3","8","284","42","-11","0","148.289","-7.992","130.02","122.265"
"1","3","9","584","79","-9","0","383.867","5.965","339.523","326.172"
"1","3","10","178","145","-8","0","274.089","5.046","250.043","239.282"
"1","3","11","2","141","-6","0","142.419","0.591","132.807","124.989"
"1","3","12","0","103","-5","0","99.681","-2.064","93.759","86.807"
"1","3","13","4","141","-4","0","144.055","0.306","134.442","126.586"
"1","3","14","0","99","-3","0","97.575","-0.207","91.233","84.335"
"1","3","15","0","47","-3","0","44.608","-3.822","42.194","36.3"
"1","3","16","0","11","-3","0","10.411","-6.611","9.935","4.652"
"1","3","17","0","0","-3","0","0","-3","0","0"
"1","3","18","0","0","-3","0","0","-3","0","0"
"1","3","19","0","0","-3","0","0","-3","0","0"
"1","3","20","0","0","-3","0","0","-3","0","0"
"1","3","21","0","0","-3","0","0","-3","0","0"
"1","3","22","0","0","-3","0","0","-3","0","0"
"1","3","23","0","0","-3","0","0","-3","0","0"
"1","4","0","0","0","-3","0","0","-3","0","0"
"1","4","1","0","0","-3","0","0","-3","0","0"
"1","4","2","0","0","-4","0","0","-4","0","0"
"1","4","3","0","0","-4","0","0","-4","0","0"
"1","4","4","0","0","-4","0","0","-4","0","0"
"1","4","5","0","0","-4","0","0","-4","0","0"
"1","4","6","0","0","-4","0","0","-4","0","0"
"1","4","7","0","0","-5","0","0","-5","0","0"
"1","4","8","296","41","-4","1","150.474","-1.604","128.944","121.214"
"1","4","9","592","78","-4","1","386.606","7.273","340.391","327.013"
"1","4","10","733","95","-4","1","575.142","14.544","504.673","485.76"
"1","4","11","802","102","-3","1","693.432","20.039","601.288","578.65"
"1","4","12","829","102","-3","1","733.656","21.807","633.231","609.286"
"1","4","13","784","106","-3","1","678.816","20.362","587.694","565.601"
"1","4","14","706","98","-3","1","550.063","16.191","479.248","461.257"
"1","4","15","570","74","-3","1","358.104","9.505","311.285","298.784"
"1","4","16","249","34","-4","1","121.136","-0.412","102.227","95.092"
"1","4","17","0","0","-4","1","0","-4","0","0"
"1","4","18","0","0","-4","1","0","-4","0","0"
"1","4","19","0","0","-4","1","0","-4","0","0"
"1","4","20","0","0","-4","1","0","-4","0","0"
"1","4","21","0","0","-4","1","0","-4","0","0"
"1","4","22","0","0","-4","0","0","-4","0","0"
"1","4","23","0","0","-4","0","0","-4","0","0"
"1","5","0","0","0","-5","0","0","-5","0","0"
"1","5","1","0","0","-6","0","0","-6","0","0"
"1","5","2","0","0","-6","0","0","-6","0","0"
"1","5","3","0","0","-6","0","0","-6","0","0"
"1","5","4","0","0","-6","0","0","-6","0","0"
"1","5","5","0","0","-6","0","0","-6","0","0"
"1","5","6","0","0","-6","0","0","-6","0","0"
"1","5","7","0","0","-6","0","0","-6","0","0"
"1","5","8","356","40","-5","0","164.768","-1.179","139.649","131.673"
"1","5","9","0","38","-4","0","36.035","-3.703","34.072","28.336"
"1","5","10","0","103","-3","0","101.426","-1.892","95.348","88.362"
"1","5","11","128","181","-2","0","294.999","8.739","267.089","255.858"
"1","5","12","59","184","-2","0","241.326","8.637","218.915","208.985"
"1","5","13","92","176","-2","0","254.035","8.601","230.191","219.964"
"1","5","14","738","90","-2","0","562.019","20.065","483.135","465.005"
"1","5","15","185","86","-2","0","190.135","9.329","168.118","159.467"
"1","5","16","57","30","-2","0","52.931","-0.405","46.985","40.997"
"1","5","17","0","0","-2","0","0","-2","0","0"
"1","5","18","0","0","-2","0","0","-2","0","0"
"1","5","19","0","0","-3","0","0","-3","0","0"
"1","5","20","0","0","-3","0","0","-3","0","0"
"1","5","21","0","0","-3","0","0","-3","0","0"
"1","5","22","0","0","-3","0","0","-3","0","0"
"1","5","23","0","0","-3","0","0","-3","0","0"
"1","6","0","0","0","-3","0","0","-3","0","0"
"1","6","1","0","0","-4","0","0","-4","0","0"
"1","6","2","0","0","-4","0","0","-4","0","0"
"1","6","3","0","0","-4","0","0","-4","0","0"
"1","6","4","0","0","-5","0","0","-5","0","0"
"1","6","5","0","0","-5","0","0","-5","0","0"
"1","6","6","0","0","-5","0","0","-5","0","0"
"1","6","7","0","0","-4","0","0","-4","0","0"
"1","6","8","0","9","-3","0","8.513","-7.354","8.143","2.893"
"1","6","9","0","41","-2","0","38.889","-4.851","36.904","31.113"
"1","6","10","0","121","-1","0","121.272","1.175","112.886","105.517"
"1","6","11","145","197","0","0","326.728","12.15","292.461","280.509"
"1","6","12","0","128","0","0","126.016","6.347","115.342","107.918"
"1","6","13","0","81","0","0","77.254","1.614","71.81","65.321"
"1","6","14","0","51","0","0","48.397","-1.022","45.37","39.414"
"1","6","15","0","28","0","0","26.532","-2.703","25.007","19.443"
"1","6","16","0","7","0","0","6.619","-4.012","6.265","1.05"
"1","6","17","0","0","0","0","0","0","0","0"
"1","6","18","0","0","0","0","0","0","0","0"
"1","6","19","0","0","0","0","0","0","0","0"
"1","6","20","0","0","0","0","0","0","0","0"
"1","6","21","0","0","-1","0","0","-1","0","0"
"1","6","22","0","0","-1","0","0","-1","0","0"
"1","6","23","0","0","-1","0","0","-1","0","0"
"1","7","0","0","0","-1","0","0","-1","0","0"
"1","7","1","0","0","-2","0","0","-2","0","0"
"1","7","2","0","0","-2","0","0","-2","0","0"
"1","7","3","0","0","-2","0","0","-2","0","0"
"1","7","4","0","0","-3","0","0","-3","0","0"
"1","7","5","0","0","-4","0","0","-4","0","0"
"1","7","6","0","0","-5","0","0","-5","0","0"
"1","7","7","0","0","-5","0","0","-5","0","0"
"1","7","8","334","41","-4","0","158.576","-0.489","134.436","126.58"
"1","7","9","0","77","-2","0","76.556","-0.016","71.536","65.052"
"1","7","10","0","119","0","0","118.959","2.736","110.174","102.865"
"1","7","11","0","121","0","0","118.962","3.393","109.942","102.638"
"1","7","12","0","128","0","0","125.955","3.724","116.28","108.835"
"1","7","13","19","159","0","0","174.19","5.958","159.515","151.072"
"1","7","14","14","128","0","0","137.962","5.002","126.676","118.997"
"1","7","15","648","69","0","0","393.563","14.897","335.952","322.71"
"1","7","16","349","34","-2","0","149.696","6.112","122.06","114.486"
"1","7","17","0","0","-3","0","0","-3","0","0"
"1","7","18","0","0","-4","0","0","-4","0","0"
"1","7","19","0","0","-4","0","0","-4","0","0"
"1","7","20","0","0","-5","0","0","-5","0","0"
"1","7","21","0","0","-5","0","0","-5","0","0"
"1","7","22","0","0","-6","0","0","-6","0","0"
"1","7","23","0","0","-6","0","0","-6","0","0"
"1","8","0","0","0","-6","0","0","-6","0","0"
"1","8","1","0","0","-7","0","0","-7","0","0"
"1","8","2","0","0","-7","0","0","-7","0","0"
"1","8","3","0","0","-7","0","0","-7","0","0"
"1","8","4","0","0","-8","0","0","-8","0","0"
"1","8","5","0","0","-8","0","0","-8","0","0"
"1","8","6","0","0","-8","0","0","-8","0","0"
"1","8","7","0","0","-8","0","0","-8","0","0"
"1","8","8","125","36","-7","0","86.044","-7.686","77.035","70.437"
"1","8","9","428","74","-4","0","302.331","6.901","267.264","256.028"
"1","8","10","833","81","-2","0","618.184","22.354","527.793","508.02"
"1","8","11","881","89","0","0","732.637","30.142","613.153","590.034"
"1","8","12","887","94","0","0","767.003","31.957","638.844","614.665"
"1","8","13","303","168","0","0","409.558","20.628","355.438","341.595"
"1","8","14","0","112","0","0","111.389","6.747","101.819","94.694"
"1","8","15","163","91","0","0","186.931","6.369","167.462","158.827"
"1","8","16","63","33","0","0","58.789","1.679","51.895","45.81"
"1","8","17","0","0","0","0","0","0","0","0"
"1","8","18","0","0","0","0","0","0","0","0"
"1","8","19","0","0","0","0","0","0","0","0"
"1","8","20","0","0","-1","0","0","-1","0","0"
"1","8","21","0","0","-1","0","0","-1","0","0"
"1","8","22","0","0","-1","0","0","-1","0","0"
"1","8","23","0","0","-1","0","0","-1","0","0"
"1","9","0","0","0","-1","0","0","-1","0","0"
"1","9","1","0","0","-2","0","0","-2","0","0"
"1","9","2","0","0","-2","0","0","-2","0","0"
"1","9","3","0","0","-2","0","0","-2","0","0"
"1","9","4","0","0","-2","0","0","-2","0","0"
"1","9","5","0","0","-3","0","0","-3","0","0"
"1","9","6","0","0","-2","0","0","-2","0","0"
"1","9","7","0","0","-1","0","0","-1","0","0"
"1","9","8","0","11","0","0","10.408","-4.179","9.856","4.575"
"1","9","9","0","9","0","0","8.516","-4.174","8.064","2.816"
"1","9","10","0","98","0","1","95.84","0.539","89.396","82.537"
"1","9","11","451","146","1","1","498.962","15.446","440.373","423.746"
"1","9","12","851","95","1","1","743.491","24.918","634.99","610.972"
"1","9","13","872","84","2","1","718.279","26.235","609.363","586.399"
"1","9","14","832","73","3","1","602.906","23.632","511.941","492.76"
"1","9","15","727","56","2","1","416.369","16.418","353.041","339.273"
"1","9","16","459","29","1","1","175.104","6.676","140.603","132.604"
"1","9","17","0","0","1","1","0","1","0","0"
"1","9","18","0","0","1","1","0","1","0","0"
"1","9","19","0","0","0","1","0","0","0","0"
"1","9","20","0","0","0","1","0","0","0","0"
"1","9","21","0","0","0","0","0","0","0","0"
"1","9","22","0","0","-1","0","0","-1","0","0"
"1","9","23","0","0","-2","0","0","-2","0","0"
"1","10","0","0","0","-3","0","0","-3","0","0"
"1","10","1","0","0","-3","0","0","-3","0","0"
"1","10","2","0","0","-3","0","0","-3","0","0"
"1","10","3","0","0","-3","0","0","-3","0","0"
"1","10","4","0","0","-3","0","0","-3","0","0"
"1","10","5","0","0","-3","0","0","-3","0","0"
"1","10","6","0","0","-3","0","0","-3","0","0"
"1","10","7","0","0","-2","0","0","-2","0","0"
"1","10","8","11","35","-1","0","41.066","-3.762","38.371","32.551"
"1","10","9","366","81","0","0","281.127","9.465","247.112","236.43"
"1","10","10","500","107","1","0","444.584","18.955","385.096","370.311"
"1","10","11","615","110","2","0","576.955","25.737","490.96","472.547"
